ticker,n_pre2018,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_total
GOLD,1813,211,781,468,175,214,259,3921
ATO,212,75,50,56,72,166,258,889
DFS,3120,368,416,309,119,163,257,4752
IBB,1295,364,378,290,204,260,253,3044
OC,1172,257,241,107,51,155,252,2235
ED,2154,393,348,212,103,175,252,3637
EFX,1313,294,484,197,70,212,252,2822
EXPE,1468,363,323,447,233,205,252,3291
NRG,1335,196,270,118,103,173,248,2443
AIT,604,350,113,47,30,299,248,1691
SYK,2158,649,600,301,96,158,246,4208
WELL,0,134,81,81,54,116,245,711
MTB,1659,439,350,181,80,215,245,3169
GWW,1733,582,277,112,45,167,244,3160
MSI,1590,527,367,190,72,82,243,3071
HSBC,1930,450,365,234,68,189,241,3477
VUG,315,107,125,111,55,178,239,1130
ORLY,2114,389,350,166,73,162,238,3492
ICE,2088,418,355,350,179,214,238,3842
FITB,1291,208,379,236,64,133,237,2548
DD,2092,1,349,332,142,164,237,3317
DB,2768,434,448,249,113,182,236,4430
ACLS,278,105,97,59,33,268,236,1076
PH,1427,353,293,159,68,105,236,2641
CAR,591,137,116,231,93,392,235,1795
WDC,3906,1142,839,356,164,201,235,6843
ARCC,1034,348,419,126,45,137,234,2343
PSA,2101,410,339,167,87,238,233,3575
MSCI,648,181,203,168,64,103,232,1599
TPR,11,96,90,145,121,279,231,973
EXAS,265,78,93,65,70,133,231,935
MTCH,138,192,135,140,290,241,230,1366
TT,0,0,0,29,43,103,230,405
MOS,1945,606,454,201,118,385,230,3939
LHX,0,0,30,61,84,192,230,597
ARE,604,254,291,238,80,179,229,1875
ODFL,114,113,54,41,64,169,229,784
SWK,1325,346,371,203,110,190,229,2774
HRL,535,125,101,95,116,225,227,1424
TLT,2169,141,106,110,97,159,226,3008
CINF,1089,227,276,152,52,201,225,2222
FHN,915,195,252,133,64,159,225,1943
GIII,1589,447,322,156,55,217,223,3009
HAS,2290,740,610,284,159,233,223,4539
FAST,1539,417,557,158,69,155,221,3116
AIZ,1126,186,184,108,50,146,221,2021
AEP,735,141,100,75,87,279,220,1637
CMI,1340,304,544,206,114,198,219,2925
BG,1039,298,232,178,115,220,215,2297
ADSK,1245,252,449,277,209,230,212,2874
AA,3092,218,278,172,174,332,212,4478
XLU,2529,724,862,288,136,200,211,4950
PENN,1071,375,218,449,275,156,210,2754
CMC,970,246,213,135,60,343,210,2177
BRO,998,337,290,171,72,148,208,2224
KRE,1209,354,367,133,54,100,207,2424
TEVA,1577,540,529,394,160,191,207,3598
TRP,1842,479,528,240,161,185,206,3641
DISH,5105,498,585,294,159,163,204,7008
RS,1674,615,35,38,59,237,203,2861
WPC,1068,433,345,147,98,186,202,2479
NLY,873,96,312,213,145,214,201,2054
SWKS,580,189,164,144,199,171,200,1647
BAX,2784,538,489,207,115,169,200,4502
XEL,978,334,321,184,79,145,199,2240
FIS,956,177,465,296,88,131,198,2311
CSIQ,2731,342,461,164,102,164,198,4162
ALL,1666,359,362,245,132,186,198,3148
VOD,1639,268,359,278,175,174,198,3091
AMN,45,61,23,25,44,911,196,1305
BB,45,221,153,151,530,184,196,1480
CTRA,3,2,21,10,28,182,196,442
SPWR,3298,451,461,273,211,240,194,5128
